ID_Uzorka;GPS_LAT;GPS_LONG
1;18,48352;77,383747
2;18,470172;77,395331
3;18,47295;77,397723
4;18,484307;77,404581
5;18,472932;77,402535
6;18,491265;77,388906
7;18,476188;77,390052
8;18,475364;77,388263
9;18,491967;77,380935
10;18,468608;77,40345
11;18,492001;77,405862
12;18,476406;77,396765
13;18,481346;77,377193
14;18,480599;77,396954
15;18,492349;77,403359
16;18,477874;77,394595
17;18,487995;77,389065
18;18,46692;77,39415
19;18,487048;77,403962
20;18,475275;77,389477
21;18,484403;77,393262
22;18,474579;77,382547
23;18,479009;77,39541
24;18,481661;77,396452
25;18,474871;77,398976
26;18,476087;77,388505
27;18,470509;77,367437
28;18,486184;77,409923
29;18,490201;77,394396
30;18,477183;77,39087
31;18,495605;77,374682
32;18,488103;77,378763
33;18,481308;77,407848
34;18,466612;77,37392
35;18,480201;77,389664
36;18,489665;77,376467
37;18,475945;77,384675
38;18,474478;77,384521
39;18,48117;77,3851
40;18,490897;77,406123
41;18,489154;77,379692
42;18,476879;77,386216
43;18,48173;77,406375
44;18,466326;77,385197
45;18,489106;77,387744
46;18,480841;77,380634
47;18,489982;77,406919
48;18,462773;77,372594
49;18,466728;77,375468
50;18,497799;77,375612
51;18,493228;77,399576
52;18,472568;77,396486
53;18,485773;77,394972
54;18,477525;77,400579
55;18,456475;77,400186
56;18,471201;77,399685
57;18,480851;77,404734
58;18,491384;77,380953
59;18,501569;77,394697
60;18,474905;77,381291
61;18,473579;77,390468
62;18,499942;77,401411
63;18,502799;77,405364
64;18,489718;77,397345
65;18,479435;77,403489
66;18,48502;77,403475
67;18,468665;77,387744
68;18,508262;77,394879
69;18,488773;77,410463
70;18,49831;77,387936
71;18,472338;77,394506
72;18,485491;77,382065
73;18,461197;77,376258
74;18,473981;77,394142
75;18,480978;77,408725
76;18,488526;77,386367
77;18,47227;77,390509
78;18,469752;77,411225
79;18,488243;77,383897
80;18,463335;77,380764
81;18,485549;77,390609
82;18,469457;77,392135
83;18,495293;77,383587
84;18,481804;77,377433
85;18,458945;77,397453
86;18,47104;77,393703
87;18,475594;77,378638
88;18,487188;77,399348
89;18,483842;77,386191
